table_id,row_key,column_key,raw_token,major,kala,normalized_value,source_id,transcription_pass,pdf_page,printed_page,unit_kind,notes
relationship_vedha_viswa,full,benefic_own,20|0,20,0,20,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,full,benefic_friend,15|0,15,0,15,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,full,benefic_neutral,10|0,10,0,10,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,full,benefic_enemy,5|0,5,0,5,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,full,malefic_own,5|0,5,0,5,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,full,malefic_friend,10|0,10,0,10,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,full,malefic_neutral,15|0,15,0,15,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,full,malefic_enemy,20|0,20,0,20,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,three_quarter,benefic_own,15|0,15,0,15,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,three_quarter,benefic_friend,11|15,11,15,11.25,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,three_quarter,benefic_neutral,7|30,7,30,7.5,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,three_quarter,benefic_enemy,3|45,3,45,3.75,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,three_quarter,malefic_own,3|45,3,45,3.75,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,three_quarter,malefic_friend,7|30,7,30,7.5,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,three_quarter,malefic_neutral,11|45,11,45,11.75,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,source_preserved_scaling_anomaly
relationship_vedha_viswa,three_quarter,malefic_enemy,15|0,15,0,15,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,half,benefic_own,10|0,10,0,10,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,half,benefic_friend,7|30,7,30,7.5,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,half,benefic_neutral,5|0,5,0,5,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
relationship_vedha_viswa,half,benefic_enemy,2|30,2,30,2.5,TRAILOKYA_DIPIKA_VYAS_KHEMRAJ_2016_REPRINT,pass_2_2016_reprint_images,82,72,viswa_kala,
